0,1,2
S/No,"Key areas for impact assessment of
climate change",Climate change effect and impact
1,"Note 8 - Critical accounting
judgements and assumptions","Management has tangentially assessed the potential financial impact of climate
change-related risks on financial statements particularly risks bordering on the
useful lives of all items of property and equipment including retirement obligations
for Right of Use assets, the possibility of impairment of goodwill and other long-
lived assets, and the recoverability of deferred tax assets of the group. While there
is no clear statutory requirements in respect of climate change in Nigeria which
could have necessitated compliance on MTNN’s part, the Group in exercising its
significant judgement, conclude that there are no material financial impacts of
climate-related risks and opportunities on the consolidated and separate financial
statements as at 31 December 2023.
Management will keep these judgements under review because the future impacts
of climate change depend on environmental, regulatory, and other factors outside
of the control of the group which are not known to the management currently."
2,Property and equipment,"The Group makes significant investments in network equipment and infrastructure
– the base stations and technology required to operate the networks – that form
most of the property and equipment.
Based on management judgement, there is no material impact of climate related
risks on the items of property and equipment."
3,Deferred tax assets,"The recovery of deferred tax assets is dependent on forecasts of future
profitability and the climate related risks identified by the group in the recovery of
those assets. Based on management judgement, there is no material impact of
climate related risks on deferred tax assets"
4,Goodwill,"In assessing the goodwill for impairment, impact of climate-related matters was
considered even though there is no clear statutory requirement in respect of
climate change in Nigeria which could have necessitated compliance on MTNN’s
part. Based on management judgement, there is no material impact of climate
related risks on goodwill."
5,"Retirement obligations for right of use
assets","The Group’s leases include network infrastructure (including tower space and
land), retail stores, vehicles, and office equipment. Based on management
judgement, there is no material impact of climate related risks on retirement
obligations for right of use assets."
