0,1,2,3,4,5,6
In thousands of naira,,,Total,Stage 1,Stage 2,Stage 3
Gross carrying amount,,,"7,950,539","7,950,539",-,-
Expected credit loss,,,"3,013","3,013",-,-
Coverage ratio,,,0.04%,0.04%,-,-
