0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
S/N,DIRECTORS,BOARD,,,"BOARD RISK
MANAGEMENT
AND
INVESTMENT
COMMITTEE",,,"BOARD
AUDIT
COMMITTEE
N C",,,"R
O",BOARD,,BOARD I.T. STRATEGY
,,,,,,,,,,,,"GOVERNANCE,",,
,,,,,,,,,,,,NOMINATIONS,,
,,,,,,,,,,,,AND,,
,,,,,,,,,,,,EMUNERATIO,,
,,,,,,,,,,,,MMITTEE,,
,DATE OF MEETINGS,,30-Jan-2024,,,29-Jan-2024,,,29-Jan-2024,,,29-Jan-2024,,"25-Apr-2024
28-Oct-2024"
,,,26-Apr-2024,,,25-Apr-2024,,,25-Apr-2024,,,25-Apr-2024,,
,,,30-Jul-2024,,,29-Jul-2024,,,29-Jul-2024,,,29-Jul-2024,,
,,,29-Oct-2024,,,28-Oct-2024,,,28-Oct-2024,,,28-Oct-2024,,
,"NUMBER OF
MEETINGS",4,,,4,,,4,,,4,,,2
1,Mr. H. A. Oyinlola1,4,,,N/A,,,N/A,,,N/A,,,N/A
2,Mr. J. K. O Agbaje,4,,,4,,,N/A,,,N/A,,,2
3,Mr. S. Barau,4,,,N/A,,,4,,,4,,,N/A
4,Mrs. H. L. Bouygues,4,,,4,,,4,,,4,,,2
5,Mrs. C. N. Echeozo,4,,,4,,,4,,,4,,,2
6,Mr. A. I. Adeniyi,4,,,4,,,N/A,,,N/A,,,N/A
